interval,flow_id,source_terminal,destination_terminal,offered_gbit
285,4001,1,3,3.100966388
286,4001,1,3,3.100966388
287,4001,1,3,3.100966388
288,4001,1,3,3.100966388
289,4001,1,3,3.100966388
290,4001,1,3,3.118146257
291,4001,1,3,3.118146257
292,4001,1,3,3.118146257
293,4001,1,3,3.118146257
294,4001,1,3,3.118146257
295,4001,1,3,3.118146257
296,4001,1,3,3.118146257
297,4001,1,3,3.118146257
298,4001,1,3,3.118146257
299,4001,1,3,3.118146257
300,4001,1,3,3.118146257
301,4001,1,3,3.118146257
302,4001,1,3,3.118146257
303,4001,1,3,3.118146257
304,4001,1,3,3.118146257
305,4001,1,3,3.118146257
306,4001,1,3,3.118146257
307,4001,1,3,3.118146257
308,4001,1,3,3.118146257
309,4001,1,3,3.118146257
310,4001,1,3,3.126736191
311,4001,1,3,3.126736191
312,4001,1,3,3.126736191
313,4001,1,3,3.126736191
314,4001,1,3,3.126736191
315,4001,1,3,3.126736191
316,4001,1,3,3.126736191
317,4001,1,3,3.126736191
318,4001,1,3,3.126736191
319,4001,1,3,3.126736191
320,4001,1,3,3.135326126
321,4001,1,3,3.135326126
322,4001,1,3,3.135326126
323,4001,1,3,3.135326126
324,4001,1,3,3.135326126
325,4001,1,3,3.135326126
326,4001,1,3,3.135326126
327,4001,1,3,3.135326126
328,4001,1,3,3.135326126
329,4001,1,3,3.135326126
330,4001,1,3,3.109556322
331,4001,1,3,3.109556322
332,4001,1,3,3.109556322
333,4001,1,3,3.109556322
334,4001,1,3,3.109556322
335,4001,1,3,3.109556322
336,4001,1,3,3.109556322
337,4001,1,3,3.109556322
338,4001,1,3,3.109556322
339,4001,1,3,3.109556322
340,4001,1,3,3.083786519
341,4001,1,3,3.083786519
342,4001,1,3,3.083786519
343,4001,1,3,3.083786519
344,4001,1,3,3.083786519
345,4001,1,3,3.083786519
346,4001,1,3,3.083786519
347,4001,1,3,3.083786519
348,4001,1,3,3.083786519
349,4001,1,3,3.083786519
350,4001,1,3,3.075196584
351,4001,1,3,3.075196584
352,4001,1,3,3.075196584
353,4001,1,3,3.075196584
354,4001,1,3,3.075196584
355,4001,1,3,3.075196584
356,4001,1,3,3.075196584
357,4001,1,3,3.075196584
358,4001,1,3,3.075196584
359,4001,1,3,3.075196584
360,4001,1,3,3.040836846
361,4001,1,3,3.040836846
362,4001,1,3,3.040836846
363,4001,1,3,3.040836846
364,4001,1,3,3.040836846
365,4001,1,3,3.040836846
366,4001,1,3,3.040836846
367,4001,1,3,3.040836846
368,4001,1,3,3.040836846
369,4001,1,3,3.040836846
370,4001,1,3,3.032246911
371,4001,1,3,3.032246911
372,4001,1,3,3.032246911
373,4001,1,3,3.032246911
374,4001,1,3,3.032246911
375,4001,1,3,3.032246911
376,4001,1,3,3.032246911
377,4001,1,3,3.032246911
378,4001,1,3,3.032246911
379,4001,1,3,3.032246911
380,4001,1,3,3.032246911
381,4001,1,3,3.032246911
382,4001,1,3,3.032246911
383,4001,1,3,3.032246911
384,4001,1,3,3.032246911
385,4001,1,3,3.032246911
386,4001,1,3,3.032246911
387,4001,1,3,3.032246911
388,4001,1,3,3.032246911
389,4001,1,3,3.032246911
390,4001,1,3,3.032246911
391,4001,1,3,3.032246911
392,4001,1,3,3.032246911
393,4001,1,3,3.032246911
394,4001,1,3,3.032246911
395,4001,1,3,3.032246911
396,4001,1,3,3.032246911
397,4001,1,3,3.032246911
398,4001,1,3,3.032246911
399,4001,1,3,3.032246911
400,4001,1,3,3.040836846
401,4001,1,3,3.040836846
402,4001,1,3,3.040836846
403,4001,1,3,3.040836846
404,4001,1,3,3.040836846
405,4001,1,3,3.040836846
406,4001,1,3,3.040836846
407,4001,1,3,3.040836846
408,4001,1,3,3.040836846
409,4001,1,3,3.040836846
410,4001,1,3,3.023656976
411,4001,1,3,3.023656976
412,4001,1,3,3.023656976
413,4001,1,3,3.023656976
414,4001,1,3,3.023656976
415,4001,1,3,3.023656976
416,4001,1,3,3.023656976
417,4001,1,3,3.023656976
418,4001,1,3,3.023656976
419,4001,1,3,3.023656976
420,4001,1,3,3.023656976
421,4001,1,3,3.023656976
422,4001,1,3,3.023656976
423,4001,1,3,3.023656976
424,4001,1,3,3.023656976
425,4001,1,3,3.023656976
426,4001,1,3,3.023656976
427,4001,1,3,3.023656976
428,4001,1,3,3.023656976
429,4001,1,3,3.023656976
430,4001,1,3,2.997887173
431,4001,1,3,2.997887173
432,4001,1,3,2.997887173
433,4001,1,3,2.997887173
434,4001,1,3,2.997887173
435,4001,1,3,2.997887173
436,4001,1,3,2.997887173
437,4001,1,3,2.997887173
438,4001,1,3,2.997887173
439,4001,1,3,2.997887173
440,4001,1,3,2.997887173
441,4001,1,3,2.997887173
442,4001,1,3,2.997887173
443,4001,1,3,2.997887173
444,4001,1,3,2.997887173
445,4001,1,3,2.997887173
446,4001,1,3,2.997887173
447,4001,1,3,2.997887173
448,4001,1,3,2.997887173
449,4001,1,3,2.997887173
450,4001,1,3,3.006477107
451,4001,1,3,3.006477107
452,4001,1,3,3.006477107
453,4001,1,3,3.006477107
454,4001,1,3,3.006477107
455,4001,1,3,3.006477107
456,4001,1,3,3.006477107
457,4001,1,3,3.006477107
458,4001,1,3,3.006477107
459,4001,1,3,3.006477107
460,4001,1,3,3.015067042
461,4001,1,3,3.015067042
462,4001,1,3,3.015067042
463,4001,1,3,3.015067042
464,4001,1,3,3.015067042
465,4001,1,3,3.015067042
466,4001,1,3,3.015067042
467,4001,1,3,3.015067042
468,4001,1,3,3.015067042
469,4001,1,3,3.015067042
470,4001,1,3,2.954937500
471,4001,1,3,2.954937500
472,4001,1,3,2.954937500
473,4001,1,3,2.954937500
474,4001,1,3,2.954937500
475,4001,1,3,2.954937500
476,4001,1,3,2.954937500
477,4001,1,3,2.954937500
478,4001,1,3,2.954937500
479,4001,1,3,2.954937500
480,4001,1,3,2.937757630
481,4001,1,3,2.937757630
482,4001,1,3,2.937757630
483,4001,1,3,2.937757630
484,4001,1,3,2.937757630
485,4001,1,3,2.937757630
486,4001,1,3,2.937757630
487,4001,1,3,2.937757630
488,4001,1,3,2.937757630
489,4001,1,3,2.937757630
490,4001,1,3,2.954937500
491,4001,1,3,2.954937500
492,4001,1,3,2.954937500
493,4001,1,3,2.954937500
494,4001,1,3,2.954937500
495,4001,1,3,2.954937500
496,4001,1,3,2.954937500
497,4001,1,3,2.954937500
498,4001,1,3,2.954937500
499,4001,1,3,2.954937500
500,4001,1,3,3.015067042
501,4001,1,3,3.015067042
502,4001,1,3,3.015067042
503,4001,1,3,3.015067042
504,4001,1,3,3.015067042
505,4001,1,3,3.015067042
506,4001,1,3,3.015067042
507,4001,1,3,3.015067042
508,4001,1,3,3.015067042
509,4001,1,3,3.015067042
510,4001,1,3,3.006477107
511,4001,1,3,3.006477107
512,4001,1,3,3.006477107
513,4001,1,3,3.006477107
514,4001,1,3,3.006477107
515,4001,1,3,3.006477107
516,4001,1,3,3.006477107
517,4001,1,3,3.006477107
518,4001,1,3,3.006477107
519,4001,1,3,3.006477107
520,4001,1,3,3.015067042
521,4001,1,3,3.015067042
522,4001,1,3,3.015067042
523,4001,1,3,3.015067042
524,4001,1,3,3.015067042
525,4001,1,3,3.015067042
526,4001,1,3,3.015067042
527,4001,1,3,3.015067042
528,4001,1,3,3.015067042
529,4001,1,3,3.015067042
530,4001,1,3,3.006477107
531,4001,1,3,3.006477107
532,4001,1,3,3.006477107
533,4001,1,3,3.006477107
534,4001,1,3,3.006477107
535,4001,1,3,3.006477107
536,4001,1,3,3.006477107
537,4001,1,3,3.006477107
538,4001,1,3,3.006477107
539,4001,1,3,3.006477107
540,4001,1,3,3.006477107
541,4001,1,3,3.006477107
542,4001,1,3,3.006477107
543,4001,1,3,3.006477107
544,4001,1,3,3.006477107
545,4001,1,3,3.006477107
546,4001,1,3,3.006477107
547,4001,1,3,3.006477107
548,4001,1,3,3.006477107
549,4001,1,3,3.006477107
550,4001,1,3,3.015067042
551,4001,1,3,3.015067042
552,4001,1,3,3.015067042
553,4001,1,3,3.015067042
554,4001,1,3,3.015067042
555,4001,1,3,3.015067042
556,4001,1,3,3.015067042
557,4001,1,3,3.015067042
558,4001,1,3,3.015067042
559,4001,1,3,3.015067042
560,4001,1,3,3.023656976
561,4001,1,3,3.023656976
562,4001,1,3,3.023656976
563,4001,1,3,3.023656976
564,4001,1,3,3.023656976
565,4001,1,3,3.023656976
566,4001,1,3,3.023656976
567,4001,1,3,3.023656976
568,4001,1,3,3.023656976
569,4001,1,3,3.023656976
570,4001,1,3,3.040836846
571,4001,1,3,3.040836846
572,4001,1,3,3.040836846
573,4001,1,3,3.040836846
574,4001,1,3,3.040836846
575,4001,1,3,3.040836846
576,4001,1,3,3.040836846
577,4001,1,3,3.040836846
578,4001,1,3,3.040836846
579,4001,1,3,3.040836846
580,4001,1,3,3.023656976
581,4001,1,3,3.023656976
582,4001,1,3,3.023656976
583,4001,1,3,3.023656976
584,4001,1,3,3.023656976
585,4001,1,3,3.023656976
586,4001,1,3,3.023656976
587,4001,1,3,3.023656976
588,4001,1,3,3.023656976
589,4001,1,3,3.023656976
590,4001,1,3,3.015067042
591,4001,1,3,3.015067042
592,4001,1,3,3.015067042
593,4001,1,3,3.015067042
594,4001,1,3,3.015067042
595,4001,1,3,3.015067042
596,4001,1,3,3.015067042
597,4001,1,3,3.015067042
598,4001,1,3,3.015067042
599,4001,1,3,3.015067042
600,4001,1,3,3.006477107
601,4001,1,3,3.006477107
602,4001,1,3,3.006477107
603,4001,1,3,3.006477107
604,4001,1,3,3.006477107
605,4001,1,3,3.006477107
606,4001,1,3,3.006477107
607,4001,1,3,3.006477107
608,4001,1,3,3.006477107
609,4001,1,3,3.006477107
610,4001,1,3,3.006477107
611,4001,1,3,3.006477107
