interval,event,switch,switch_name,port,target_type,target_index,flow_id,source_terminal,destination_terminal,creation_interval,age_intervals,capacity_gbit,queued_before_gbit,send_gbit,remaining_after_gbit,dropped_gbit
5,stage_arrival,1,S01,0,switch,0,50944,19,0,0,5,159.728,0,0,53.3864,0
5,stage_arrival,26,S33,0,switch,3,50946,44,0,0,5,174.708,51.5854,0,59.7201,0
5,stage_arrival_coalesce,0,S00,5,terminal,0,50945,70,0,0,5,1000,0,0,98.8967,0
5,stage_arrival_coalesce,0,S00,5,terminal,0,50947,12,0,0,5,1000,0,0,49.4567,0
5,stage_arrival,1,S01,0,switch,0,50947,12,0,0,5,159.728,0,0,53.3297,0
5,stage_arrival,26,S33,0,switch,3,50940,66,0,0,5,174.708,51.5854,0,59.7201,0
5,stage_arrival,55,S60,1,switch,37,50941,110,0,0,5,243.133,0,0,34.4367,0
5,stage_arrival,0,S00,5,terminal,0,50942,105,0,0,5,1000,0,0,1.10333,0
5,stage_arrival,33,S34,0,switch,26,50940,66,0,0,5,235.741,0,0,59.5645,0
5,stage_arrival,37,S32,0,switch,0,50945,70,0,0,5,103.31,0,0,34.5296,0
5,stage_arrival,37,S32,0,switch,0,50942,105,0,0,5,103.31,0,0,100,0
5,stage_arrival,3,S27,0,switch,0,50946,44,0,0,5,119.129,0,0,62.062,0
5,stage_arrival_coalesce,0,S00,5,terminal,0,50941,110,0,0,5,1000,0,0,3.31,0
5,stage_arrival,54,S31,1,switch,37,50942,105,0,0,5,242.335,0,0,35.1664,0
5,stage_arrival,11,S03,0,switch,6,50943,23,0,0,5,132.338,53.333,0,53.2427,0
5,stage_arrival_coalesce,0,S00,5,terminal,0,50946,44,0,0,5,1000,0,0,59.5645,0
5,stage_arrival_coalesce,0,S00,5,terminal,0,50940,66,0,0,5,1000,0,0,59.5645,0
5,stage_arrival,22,S07,3,switch,26,50946,44,0,0,5,124.406,0,0,59.5645,0
5,stage_arrival_coalesce,0,S00,5,terminal,0,50943,23,0,0,5,1000,0,0,49.4567,0
5,stage_arrival,52,S30,2,switch,54,50942,105,0,0,5,164.752,0,0,34.4367,0
5,stage_arrival_coalesce,0,S00,5,terminal,0,50944,19,0,0,5,1000,0,0,60.8147,0
5,stage_arrival,6,S02,0,switch,1,50947,12,0,0,5,138.732,0,0,53.2427,0
5,stage_arrival,35,S17,2,switch,37,50945,70,0,0,5,246.878,0,0,34.4367,0
5,stage_arrival_coalesce,3,S27,0,switch,0,50946,44,0,0,5,119.129,0,0,87.354,0
5,allocate_send_arrival,37,S32,0,switch,0,50941,110,0,0,5,103.31,0,1.10333,33.4263,0
5,enqueue_residual,37,S32,0,switch,0,50941,110,0,0,5,103.31,0,0,33.4263,0
5,allocate_send_arrival,37,S32,0,switch,0,50945,70,0,0,5,103.31,0,1.10333,33.4263,0
5,enqueue_residual,37,S32,0,switch,0,50945,70,0,0,5,103.31,0,0,33.4263,0
5,allocate_send_arrival,37,S32,0,switch,0,50942,105,0,0,5,103.31,0,1.10333,98.8967,0
5,enqueue_residual,37,S32,0,switch,0,50942,105,0,0,5,103.31,0,0,33.1474,0
5,drop_shared_buffer_overflow,37,S32,0,switch,0,50942,105,0,0,5,103.31,0,0,0,65.7493
