interval,event,terminal,terminal_name,attached_switch,peer_terminal,mbit
298,trace_offer,0,VLAN4012.0,0,1,3006.48
295,receive,1,VLAN4012.1,0,0,3006.48
295,receive,1,VLAN4012.1,0,0,3006.48
298,send,0,VLAN4012.0,0,1,3006.48
299,trace_offer,0,VLAN4012.0,0,1,3006.48
299,send,0,VLAN4012.0,0,1,3006.48
300,trace_offer,0,VLAN4012.0,0,1,3023.66
297,receive,1,VLAN4012.1,0,0,3006.48
297,receive,1,VLAN4012.1,0,0,3006.48
300,send,0,VLAN4012.0,0,1,3023.66
301,trace_offer,0,VLAN4012.0,0,1,3023.66
298,receive,1,VLAN4012.1,0,0,3023.66
301,send,0,VLAN4012.0,0,1,3023.66
302,trace_offer,0,VLAN4012.0,0,1,3023.66
299,receive,1,VLAN4012.1,0,0,3023.66
302,send,0,VLAN4012.0,0,1,3023.66
303,trace_offer,0,VLAN4012.0,0,1,3023.66
300,receive,1,VLAN4012.1,0,0,3023.66
303,send,0,VLAN4012.0,0,1,3023.66
304,trace_offer,0,VLAN4012.0,0,1,3023.66
301,receive,1,VLAN4012.1,0,0,3023.66
304,send,0,VLAN4012.0,0,1,3023.66
305,trace_offer,0,VLAN4012.0,0,1,3023.66
302,receive,1,VLAN4012.1,0,0,3023.66
305,send,0,VLAN4012.0,0,1,3023.66
306,trace_offer,0,VLAN4012.0,0,1,3023.66
303,receive,1,VLAN4012.1,0,0,3023.66
306,send,0,VLAN4012.0,0,1,3023.66
307,trace_offer,0,VLAN4012.0,0,1,3023.66
304,receive,1,VLAN4012.1,0,0,3023.66
307,send,0,VLAN4012.0,0,1,3023.66
308,trace_offer,0,VLAN4012.0,0,1,3023.66
305,receive,1,VLAN4012.1,0,0,3023.66
308,send,0,VLAN4012.0,0,1,3023.66
309,trace_offer,0,VLAN4012.0,0,1,3023.66
306,receive,1,VLAN4012.1,0,0,3023.66
309,send,0,VLAN4012.0,0,1,3023.66
310,trace_offer,0,VLAN4012.0,0,1,3023.66
307,receive,1,VLAN4012.1,0,0,3023.66
310,send,0,VLAN4012.0,0,1,3023.66
311,trace_offer,0,VLAN4012.0,0,1,3023.66
308,receive,1,VLAN4012.1,0,0,3023.66
311,send,0,VLAN4012.0,0,1,3023.66
312,trace_offer,0,VLAN4012.0,0,1,3023.66
312,send,0,VLAN4012.0,0,1,3023.66
313,trace_offer,0,VLAN4012.0,0,1,3023.66
310,receive,1,VLAN4012.1,0,0,3023.66
310,receive,1,VLAN4012.1,0,0,3023.66
313,send,0,VLAN4012.0,0,1,3023.66
314,trace_offer,0,VLAN4012.0,0,1,3023.66
314,send,0,VLAN4012.0,0,1,3023.66
315,trace_offer,0,VLAN4012.0,0,1,3023.66
312,receive,1,VLAN4012.1,0,0,3023.66
312,receive,1,VLAN4012.1,0,0,3023.66
315,send,0,VLAN4012.0,0,1,3023.66
316,trace_offer,0,VLAN4012.0,0,1,3023.66
313,receive,1,VLAN4012.1,0,0,3023.66
316,send,0,VLAN4012.0,0,1,3023.66
317,trace_offer,0,VLAN4012.0,0,1,3023.66
317,send,0,VLAN4012.0,0,1,3023.66
318,trace_offer,0,VLAN4012.0,0,1,3023.66
315,receive,1,VLAN4012.1,0,0,3023.66
315,receive,1,VLAN4012.1,0,0,3023.66
318,send,0,VLAN4012.0,0,1,3023.66
319,trace_offer,0,VLAN4012.0,0,1,3023.66
319,send,0,VLAN4012.0,0,1,3023.66
320,trace_offer,0,VLAN4012.0,0,1,3032.25
317,receive,1,VLAN4012.1,0,0,3023.66
317,receive,1,VLAN4012.1,0,0,3023.66
320,send,0,VLAN4012.0,0,1,3032.25
321,trace_offer,0,VLAN4012.0,0,1,3032.25
318,receive,1,VLAN4012.1,0,0,3032.25
321,send,0,VLAN4012.0,0,1,3032.25
322,trace_offer,0,VLAN4012.0,0,1,3032.25
322,send,0,VLAN4012.0,0,1,3032.25
323,trace_offer,0,VLAN4012.0,0,1,3032.25
320,receive,1,VLAN4012.1,0,0,3032.25
323,send,0,VLAN4012.0,0,1,3032.25
324,trace_offer,0,VLAN4012.0,0,1,3032.25
321,receive,1,VLAN4012.1,0,0,3032.25
324,send,0,VLAN4012.0,0,1,3032.25
325,trace_offer,0,VLAN4012.0,0,1,3032.25
322,receive,1,VLAN4012.1,0,0,3032.25
322,receive,1,VLAN4012.1,0,0,3032.25
325,send,0,VLAN4012.0,0,1,3032.25
326,trace_offer,0,VLAN4012.0,0,1,3032.25
326,send,0,VLAN4012.0,0,1,3032.25
327,trace_offer,0,VLAN4012.0,0,1,3032.25
324,receive,1,VLAN4012.1,0,0,3032.25
324,receive,1,VLAN4012.1,0,0,3032.25
327,send,0,VLAN4012.0,0,1,3032.25
328,trace_offer,0,VLAN4012.0,0,1,3032.25
328,send,0,VLAN4012.0,0,1,3032.25
329,trace_offer,0,VLAN4012.0,0,1,3032.25
326,receive,1,VLAN4012.1,0,0,3032.25
326,receive,1,VLAN4012.1,0,0,3032.25
329,send,0,VLAN4012.0,0,1,3032.25
330,trace_offer,0,VLAN4012.0,0,1,3032.25
330,send,0,VLAN4012.0,0,1,3032.25
331,trace_offer,0,VLAN4012.0,0,1,3032.25
328,receive,1,VLAN4012.1,0,0,3032.25
331,send,0,VLAN4012.0,0,1,3032.25
