interval,event,switch,switch_name,port,target_type,target_index,flowlet_id,source_terminal,destination_terminal,creation_interval,age_intervals,capacity_gbit,queued_before_gbit,send_gbit,remaining_after_gbit,dropped_gbit
67,stage_arrival,0,VLAN4012,1,terminal,1,2001,0,1,0,67,10,0,0,3.19546,0
63,allocate_send_arrival,0,VLAN4012,1,terminal,1,2001,0,1,0,63,10,0,3.19546,0,0
63,allocate_send_arrival,0,VLAN4012,1,terminal,1,2001,0,1,0,63,10,0,3.19546,0,0
68,stage_arrival,0,VLAN4012,1,terminal,1,2001,0,1,0,68,10,0,0,3.19546,0
65,allocate_send_arrival,0,VLAN4012,1,terminal,1,2001,0,1,0,65,10,0,3.19546,0,0
69,stage_arrival,0,VLAN4012,1,terminal,1,2001,0,1,0,69,10,0,0,3.19546,0
70,stage_arrival,0,VLAN4012,1,terminal,1,2001,0,1,0,70,10,0,0,3.19546,0
66,allocate_send_arrival,0,VLAN4012,1,terminal,1,2001,0,1,0,66,10,0,3.19546,0,0
66,allocate_send_arrival,0,VLAN4012,1,terminal,1,2001,0,1,0,66,10,0,3.19546,0,0
71,stage_arrival,0,VLAN4012,1,terminal,1,2001,0,1,0,71,10,0,0,3.17828,0
68,allocate_send_arrival,0,VLAN4012,1,terminal,1,2001,0,1,0,68,10,0,3.17828,0,0
72,stage_arrival,0,VLAN4012,1,terminal,1,2001,0,1,0,72,10,0,0,3.17828,0
69,allocate_send_arrival,0,VLAN4012,1,terminal,1,2001,0,1,0,69,10,0,3.17828,0,0
73,stage_arrival,0,VLAN4012,1,terminal,1,2001,0,1,0,73,10,0,0,3.17828,0
70,allocate_send_arrival,0,VLAN4012,1,terminal,1,2001,0,1,0,70,10,0,3.17828,0,0
74,stage_arrival,0,VLAN4012,1,terminal,1,2001,0,1,0,74,10,0,0,3.17828,0
75,stage_arrival,0,VLAN4012,1,terminal,1,2001,0,1,0,75,10,0,0,3.17828,0
71,allocate_send_arrival,0,VLAN4012,1,terminal,1,2001,0,1,0,71,10,0,3.17828,0,0
71,allocate_send_arrival,0,VLAN4012,1,terminal,1,2001,0,1,0,71,10,0,3.17828,0,0
76,stage_arrival,0,VLAN4012,1,terminal,1,2001,0,1,0,76,10,0,0,3.17828,0
73,allocate_send_arrival,0,VLAN4012,1,terminal,1,2001,0,1,0,73,10,0,3.17828,0,0
77,stage_arrival,0,VLAN4012,1,terminal,1,2001,0,1,0,77,10,0,0,3.17828,0
74,allocate_send_arrival,0,VLAN4012,1,terminal,1,2001,0,1,0,74,10,0,3.17828,0,0
78,stage_arrival,0,VLAN4012,1,terminal,1,2001,0,1,0,78,10,0,0,3.17828,0
75,allocate_send_arrival,0,VLAN4012,1,terminal,1,2001,0,1,0,75,10,0,3.17828,0,0
79,stage_arrival,0,VLAN4012,1,terminal,1,2001,0,1,0,79,10,0,0,3.17828,0
80,stage_arrival,0,VLAN4012,1,terminal,1,2001,0,1,0,80,10,0,0,3.17828,0
76,allocate_send_arrival,0,VLAN4012,1,terminal,1,2001,0,1,0,76,10,0,3.17828,0,0
76,allocate_send_arrival,0,VLAN4012,1,terminal,1,2001,0,1,0,76,10,0,3.17828,0,0
81,stage_arrival,0,VLAN4012,1,terminal,1,2001,0,1,0,81,10,0,0,3.1611,0
77,allocate_send_arrival,0,VLAN4012,1,terminal,1,2001,0,1,0,77,10,0,3.1611,0,0
82,stage_arrival,0,VLAN4012,1,terminal,1,2001,0,1,0,82,10,0,0,3.1611,0
79,allocate_send_arrival,0,VLAN4012,1,terminal,1,2001,0,1,0,79,10,0,3.1611,0,0
83,stage_arrival,0,VLAN4012,1,terminal,1,2001,0,1,0,83,10,0,0,3.1611,0
84,stage_arrival,0,VLAN4012,1,terminal,1,2001,0,1,0,84,10,0,0,3.1611,0
80,allocate_send_arrival,0,VLAN4012,1,terminal,1,2001,0,1,0,80,10,0,3.1611,0,0
80,allocate_send_arrival,0,VLAN4012,1,terminal,1,2001,0,1,0,80,10,0,3.1611,0,0
85,stage_arrival,0,VLAN4012,1,terminal,1,2001,0,1,0,85,10,0,0,3.1611,0
86,stage_arrival,0,VLAN4012,1,terminal,1,2001,0,1,0,86,10,0,0,3.1611,0
82,allocate_send_arrival,0,VLAN4012,1,terminal,1,2001,0,1,0,82,10,0,3.1611,0,0
82,allocate_send_arrival,0,VLAN4012,1,terminal,1,2001,0,1,0,82,10,0,3.1611,0,0
87,stage_arrival,0,VLAN4012,1,terminal,1,2001,0,1,0,87,10,0,0,3.1611,0
84,allocate_send_arrival,0,VLAN4012,1,terminal,1,2001,0,1,0,84,10,0,3.1611,0,0
88,stage_arrival,0,VLAN4012,1,terminal,1,2001,0,1,0,88,10,0,0,3.1611,0
85,allocate_send_arrival,0,VLAN4012,1,terminal,1,2001,0,1,0,85,10,0,3.1611,0,0
89,stage_arrival,0,VLAN4012,1,terminal,1,2001,0,1,0,89,10,0,0,3.1611,0
86,allocate_send_arrival,0,VLAN4012,1,terminal,1,2001,0,1,0,86,10,0,3.1611,0,0
90,stage_arrival,0,VLAN4012,1,terminal,1,2001,0,1,0,90,10,0,0,3.1611,0
91,stage_arrival,0,VLAN4012,1,terminal,1,2001,0,1,0,91,10,0,0,3.16969,0
87,allocate_send_arrival,0,VLAN4012,1,terminal,1,2001,0,1,0,87,10,0,3.1611,0,0
87,allocate_send_arrival,0,VLAN4012,1,terminal,1,2001,0,1,0,87,10,0,3.16969,0,0
92,stage_arrival,0,VLAN4012,1,terminal,1,2001,0,1,0,92,10,0,0,3.16969,0
88,allocate_send_arrival,0,VLAN4012,1,terminal,1,2001,0,1,0,88,10,0,3.16969,0,0
93,stage_arrival,0,VLAN4012,1,terminal,1,2001,0,1,0,93,10,0,0,3.16969,0
94,stage_arrival,0,VLAN4012,1,terminal,1,2001,0,1,0,94,10,0,0,3.16969,0
90,allocate_send_arrival,0,VLAN4012,1,terminal,1,2001,0,1,0,90,10,0,3.16969,0,0
90,allocate_send_arrival,0,VLAN4012,1,terminal,1,2001,0,1,0,90,10,0,3.16969,0,0
95,stage_arrival,0,VLAN4012,1,terminal,1,2001,0,1,0,95,10,0,0,3.16969,0
91,allocate_send_arrival,0,VLAN4012,1,terminal,1,2001,0,1,0,91,10,0,3.16969,0,0
96,stage_arrival,0,VLAN4012,1,terminal,1,2001,0,1,0,96,10,0,0,3.16969,0
97,stage_arrival,0,VLAN4012,1,terminal,1,2001,0,1,0,97,10,0,0,3.16969,0
93,allocate_send_arrival,0,VLAN4012,1,terminal,1,2001,0,1,0,93,10,0,3.16969,0,0
93,allocate_send_arrival,0,VLAN4012,1,terminal,1,2001,0,1,0,93,10,0,3.16969,0,0
98,stage_arrival,0,VLAN4012,1,terminal,1,2001,0,1,0,98,10,0,0,3.16969,0
99,stage_arrival,0,VLAN4012,1,terminal,1,2001,0,1,0,99,10,0,0,3.16969,0
95,allocate_send_arrival,0,VLAN4012,1,terminal,1,2001,0,1,0,95,10,0,3.16969,0,0
95,allocate_send_arrival,0,VLAN4012,1,terminal,1,2001,0,1,0,95,10,0,3.16969,0,0
100,stage_arrival,0,VLAN4012,1,terminal,1,2001,0,1,0,100,10,0,0,3.16969,0
96,allocate_send_arrival,0,VLAN4012,1,terminal,1,2001,0,1,0,96,10,0,3.16969,0,0
101,stage_arrival,0,VLAN4012,1,terminal,1,2001,0,1,0,101,10,0,0,3.14392,0
97,allocate_send_arrival,0,VLAN4012,1,terminal,1,2001,0,1,0,97,10,0,3.14392,0,0
102,stage_arrival,0,VLAN4012,1,terminal,1,2001,0,1,0,102,10,0,0,3.14392,0
99,allocate_send_arrival,0,VLAN4012,1,terminal,1,2001,0,1,0,99,10,0,3.14392,0,0
103,stage_arrival,0,VLAN4012,1,terminal,1,2001,0,1,0,103,10,0,0,3.14392,0
104,stage_arrival,0,VLAN4012,1,terminal,1,2001,0,1,0,104,10,0,0,3.14392,0
100,allocate_send_arrival,0,VLAN4012,1,terminal,1,2001,0,1,0,100,10,0,3.14392,0,0
100,allocate_send_arrival,0,VLAN4012,1,terminal,1,2001,0,1,0,100,10,0,3.14392,0,0
105,stage_arrival,0,VLAN4012,1,terminal,1,2001,0,1,0,105,10,0,0,3.14392,0
101,allocate_send_arrival,0,VLAN4012,1,terminal,1,2001,0,1,0,101,10,0,3.14392,0,0
106,stage_arrival,0,VLAN4012,1,terminal,1,2001,0,1,0,106,10,0,0,3.14392,0
103,allocate_send_arrival,0,VLAN4012,1,terminal,1,2001,0,1,0,103,10,0,3.14392,0,0
107,stage_arrival,0,VLAN4012,1,terminal,1,2001,0,1,0,107,10,0,0,3.14392,0
104,allocate_send_arrival,0,VLAN4012,1,terminal,1,2001,0,1,0,104,10,0,3.14392,0,0
108,stage_arrival,0,VLAN4012,1,terminal,1,2001,0,1,0,108,10,0,0,3.14392,0
105,allocate_send_arrival,0,VLAN4012,1,terminal,1,2001,0,1,0,105,10,0,3.14392,0,0
109,stage_arrival,0,VLAN4012,1,terminal,1,2001,0,1,0,109,10,0,0,3.14392,0
110,stage_arrival,0,VLAN4012,1,terminal,1,2001,0,1,0,110,10,0,0,3.14392,0
106,allocate_send_arrival,0,VLAN4012,1,terminal,1,2001,0,1,0,106,10,0,3.14392,0,0
106,allocate_send_arrival,0,VLAN4012,1,terminal,1,2001,0,1,0,106,10,0,3.14392,0,0
111,stage_arrival,0,VLAN4012,1,terminal,1,2001,0,1,0,111,10,0,0,3.00648,0
112,stage_arrival,0,VLAN4012,1,terminal,1,2001,0,1,0,112,10,0,0,3.00648,0
108,allocate_send_arrival,0,VLAN4012,1,terminal,1,2001,0,1,0,108,10,0,3.00648,0,0
108,allocate_send_arrival,0,VLAN4012,1,terminal,1,2001,0,1,0,108,10,0,3.00648,0,0
113,stage_arrival,0,VLAN4012,1,terminal,1,2001,0,1,0,113,10,0,0,3.00648,0
109,allocate_send_arrival,0,VLAN4012,1,terminal,1,2001,0,1,0,109,10,0,3.00648,0,0
114,stage_arrival,0,VLAN4012,1,terminal,1,2001,0,1,0,114,10,0,0,3.00648,0
115,stage_arrival,0,VLAN4012,1,terminal,1,2001,0,1,0,115,10,0,0,3.00648,0
111,allocate_send_arrival,0,VLAN4012,1,terminal,1,2001,0,1,0,111,10,0,3.00648,0,0
111,allocate_send_arrival,0,VLAN4012,1,terminal,1,2001,0,1,0,111,10,0,3.00648,0,0
116,stage_arrival,0,VLAN4012,1,terminal,1,2001,0,1,0,116,10,0,0,3.00648,0
112,allocate_send_arrival,0,VLAN4012,1,terminal,1,2001,0,1,0,112,10,0,3.00648,0,0
117,stage_arrival,0,VLAN4012,1,terminal,1,2001,0,1,0,117,10,0,0,3.00648,0
113,allocate_send_arrival,0,VLAN4012,1,terminal,1,2001,0,1,0,113,10,0,3.00648,0,0
118,stage_arrival,0,VLAN4012,1,terminal,1,2001,0,1,0,118,10,0,0,3.00648,0
115,allocate_send_arrival,0,VLAN4012,1,terminal,1,2001,0,1,0,115,10,0,3.00648,0,0
119,stage_arrival,0,VLAN4012,1,terminal,1,2001,0,1,0,119,10,0,0,3.00648,0
