interval,flow_id,source_terminal,destination_terminal,offered_gbit
178,5001,0,1,2.851858285
179,5001,0,1,2.851858285
180,5001,0,1,2.860448219
181,5001,0,1,2.860448219
182,5001,0,1,2.860448219
183,5001,0,1,2.860448219
184,5001,0,1,2.860448219
185,5001,0,1,2.860448219
186,5001,0,1,2.860448219
187,5001,0,1,2.860448219
188,5001,0,1,2.860448219
189,5001,0,1,2.860448219
190,5001,0,1,2.860448219
191,5001,0,1,2.860448219
192,5001,0,1,2.860448219
193,5001,0,1,2.860448219
194,5001,0,1,2.860448219
195,5001,0,1,2.860448219
196,5001,0,1,2.860448219
197,5001,0,1,2.860448219
198,5001,0,1,2.860448219
199,5001,0,1,2.860448219
200,5001,0,1,2.851858285
201,5001,0,1,2.851858285
202,5001,0,1,2.851858285
203,5001,0,1,2.851858285
204,5001,0,1,2.851858285
205,5001,0,1,2.851858285
206,5001,0,1,2.851858285
207,5001,0,1,2.851858285
208,5001,0,1,2.851858285
209,5001,0,1,2.851858285
210,5001,0,1,2.851858285
211,5001,0,1,2.851858285
212,5001,0,1,2.851858285
213,5001,0,1,2.851858285
214,5001,0,1,2.851858285
215,5001,0,1,2.851858285
216,5001,0,1,2.851858285
217,5001,0,1,2.851858285
218,5001,0,1,2.851858285
219,5001,0,1,2.851858285
220,5001,0,1,2.843268350
221,5001,0,1,2.843268350
222,5001,0,1,2.843268350
223,5001,0,1,2.843268350
224,5001,0,1,2.843268350
225,5001,0,1,2.843268350
226,5001,0,1,2.843268350
227,5001,0,1,2.843268350
228,5001,0,1,2.843268350
229,5001,0,1,2.843268350
230,5001,0,1,2.834678415
231,5001,0,1,2.834678415
232,5001,0,1,2.834678415
233,5001,0,1,2.834678415
234,5001,0,1,2.834678415
235,5001,0,1,2.834678415
236,5001,0,1,2.834678415
237,5001,0,1,2.834678415
238,5001,0,1,2.834678415
239,5001,0,1,2.834678415
240,5001,0,1,2.834678415
241,5001,0,1,2.834678415
242,5001,0,1,2.834678415
243,5001,0,1,2.834678415
244,5001,0,1,2.834678415
245,5001,0,1,2.834678415
246,5001,0,1,2.834678415
247,5001,0,1,2.834678415
248,5001,0,1,2.834678415
249,5001,0,1,2.834678415
250,5001,0,1,2.834678415
251,5001,0,1,2.834678415
252,5001,0,1,2.834678415
253,5001,0,1,2.834678415
254,5001,0,1,2.834678415
255,5001,0,1,2.834678415
256,5001,0,1,2.834678415
257,5001,0,1,2.834678415
258,5001,0,1,2.834678415
259,5001,0,1,2.834678415
260,5001,0,1,2.826088481
261,5001,0,1,2.826088481
262,5001,0,1,2.826088481
263,5001,0,1,2.826088481
264,5001,0,1,2.826088481
265,5001,0,1,2.826088481
266,5001,0,1,2.826088481
267,5001,0,1,2.826088481
268,5001,0,1,2.826088481
269,5001,0,1,2.826088481
270,5001,0,1,2.826088481
271,5001,0,1,2.826088481
272,5001,0,1,2.826088481
273,5001,0,1,2.826088481
274,5001,0,1,2.826088481
275,5001,0,1,2.826088481
276,5001,0,1,2.826088481
277,5001,0,1,2.826088481
278,5001,0,1,2.826088481
279,5001,0,1,2.826088481
280,5001,0,1,2.826088481
281,5001,0,1,2.826088481
