interval,event,switch,switch_name,port,target_type,target_index,capacity_mbit,queued_before_mbit,sent_mbit,queued_after_mbit,shared_queued_before_mbit,shared_queued_after_mbit,shared_buffer_mbit,dropped_mbit,active_queue_entries
47,egress,1,LBNL_VLAN3002,0,switch,2,40000,0,0,0,0,0,909.28,0,0
47,egress,2,STARLIGHT,1,switch,3,40000,0,62.7468,0,0,0,909.28,0,0
47,egress,3,LBNL_VLAN3001,2,terminal,7,20000,0,31.3734,0,0,0,909.28,0,0
48,egress,3,LBNL_VLAN3001,2,terminal,7,20000,0,62.7468,0,0,0,909.28,0,0
48,egress,1,LBNL_VLAN3002,0,switch,2,40000,0,49.4928,0,0,0,909.28,0,0
49,egress,2,STARLIGHT,1,switch,3,40000,0,49.4928,0,0,0,909.28,0,0
49,egress,1,LBNL_VLAN3002,0,switch,2,40000,0,0,0,0,0,909.28,0,0
50,egress,1,LBNL_VLAN3002,0,switch,2,40000,0,24.7464,0,0,0,909.28,0,0
50,egress,3,LBNL_VLAN3001,2,terminal,7,20000,0,49.4928,0,0,0,909.28,0,0
51,egress,2,STARLIGHT,1,switch,3,40000,0,24.7464,0,0,0,909.28,0,0
51,egress,1,LBNL_VLAN3002,0,switch,2,40000,0,24.7464,0,0,0,909.28,0,0
52,egress,3,LBNL_VLAN3001,2,terminal,7,20000,0,24.7464,0,0,0,909.28,0,0
52,egress,2,STARLIGHT,1,switch,3,40000,0,24.7464,0,0,0,909.28,0,0
52,egress,1,LBNL_VLAN3002,0,switch,2,40000,0,24.7464,0,0,0,909.28,0,0
53,egress,3,LBNL_VLAN3001,2,terminal,7,20000,0,24.7464,0,0,0,909.28,0,0
53,egress,2,STARLIGHT,1,switch,3,40000,0,24.7464,0,0,0,909.28,0,0
53,egress,1,LBNL_VLAN3002,0,switch,2,40000,0,24.7464,0,0,0,909.28,0,0
54,egress,3,LBNL_VLAN3001,2,terminal,7,20000,0,24.7464,0,0,0,909.28,0,0
54,egress,2,STARLIGHT,1,switch,3,40000,0,24.7464,0,0,0,909.28,0,0
54,egress,1,LBNL_VLAN3002,0,switch,2,40000,0,24.7464,0,0,0,909.28,0,0
55,egress,1,LBNL_VLAN3002,0,switch,2,40000,0,24.7464,0,0,0,909.28,0,0
55,egress,3,LBNL_VLAN3001,2,terminal,7,20000,0,24.7464,0,0,0,909.28,0,0
55,egress,2,STARLIGHT,1,switch,3,40000,0,24.7464,0,0,0,909.28,0,0
56,egress,2,STARLIGHT,1,switch,3,40000,0,24.7464,0,0,0,909.28,0,0
56,egress,1,LBNL_VLAN3002,0,switch,2,40000,0,24.7464,0,0,0,909.28,0,0
56,egress,3,LBNL_VLAN3001,2,terminal,7,20000,0,24.7464,0,0,0,909.28,0,0
57,egress,3,LBNL_VLAN3001,2,terminal,7,20000,0,24.7464,0,0,0,909.28,0,0
57,egress,1,LBNL_VLAN3002,0,switch,2,40000,0,24.7464,0,0,0,909.28,0,0
57,egress,2,STARLIGHT,1,switch,3,40000,0,24.7464,0,0,0,909.28,0,0
58,egress,1,LBNL_VLAN3002,0,switch,2,40000,0,30.954,0,0,0,909.28,0,0
58,egress,3,LBNL_VLAN3001,2,terminal,7,20000,0,24.7464,0,0,0,909.28,0,0
58,egress,2,STARLIGHT,1,switch,3,40000,0,24.7464,0,0,0,909.28,0,0
59,egress,1,LBNL_VLAN3002,0,switch,2,40000,0,30.954,0,0,0,909.28,0,0
59,egress,3,LBNL_VLAN3001,2,terminal,7,20000,0,24.7464,0,0,0,909.28,0,0
59,egress,2,STARLIGHT,1,switch,3,40000,0,30.954,0,0,0,909.28,0,0
60,egress,1,LBNL_VLAN3002,0,switch,2,40000,0,30.954,0,0,0,909.28,0,0
60,egress,3,LBNL_VLAN3001,2,terminal,7,20000,0,30.954,0,0,0,909.28,0,0
60,egress,2,STARLIGHT,1,switch,3,40000,0,30.954,0,0,0,909.28,0,0
61,egress,3,LBNL_VLAN3001,2,terminal,7,20000,0,30.954,0,0,0,909.28,0,0
61,egress,1,LBNL_VLAN3002,0,switch,2,40000,0,30.954,0,0,0,909.28,0,0
61,egress,2,STARLIGHT,1,switch,3,40000,0,30.954,0,0,0,909.28,0,0
62,egress,2,STARLIGHT,1,switch,3,40000,0,30.954,0,0,0,909.28,0,0
62,egress,1,LBNL_VLAN3002,0,switch,2,40000,0,30.954,0,0,0,909.28,0,0
62,egress,3,LBNL_VLAN3001,2,terminal,7,20000,0,30.954,0,0,0,909.28,0,0
63,egress,3,LBNL_VLAN3001,2,terminal,7,20000,0,30.954,0,0,0,909.28,0,0
63,egress,2,STARLIGHT,1,switch,3,40000,0,30.954,0,0,0,909.28,0,0
63,egress,1,LBNL_VLAN3002,0,switch,2,40000,0,61.9079,0,0,0,909.28,0,0
64,egress,3,LBNL_VLAN3001,2,terminal,7,20000,0,30.954,0,0,0,909.28,0,0
64,egress,2,STARLIGHT,1,switch,3,40000,0,61.9079,0,0,0,909.28,0,0
64,egress,1,LBNL_VLAN3002,0,switch,2,40000,0,0,0,0,0,909.28,0,0
65,egress,1,LBNL_VLAN3002,0,switch,2,40000,0,30.954,0,0,0,909.28,0,0
65,egress,3,LBNL_VLAN3001,2,terminal,7,20000,0,61.9079,0,0,0,909.28,0,0
66,egress,2,STARLIGHT,1,switch,3,40000,0,30.954,0,0,0,909.28,0,0
66,egress,1,LBNL_VLAN3002,0,switch,2,40000,0,61.9079,0,0,0,909.28,0,0
67,egress,3,LBNL_VLAN3001,2,terminal,7,20000,0,30.954,0,0,0,909.28,0,0
67,egress,1,LBNL_VLAN3002,0,switch,2,40000,0,0,0,0,0,909.28,0,0
67,egress,2,STARLIGHT,1,switch,3,40000,0,61.9079,0,0,0,909.28,0,0
68,egress,3,LBNL_VLAN3001,2,terminal,7,20000,0,61.9079,0,0,0,909.28,0,0
68,egress,1,LBNL_VLAN3002,0,switch,2,40000,0,62.0757,0,0,0,909.28,0,0
69,egress,1,LBNL_VLAN3002,0,switch,2,40000,0,0,0,0,0,909.28,0,0
69,egress,2,STARLIGHT,1,switch,3,40000,0,62.0757,0,0,0,909.28,0,0
70,egress,3,LBNL_VLAN3001,2,terminal,7,20000,0,62.0757,0,0,0,909.28,0,0
70,egress,1,LBNL_VLAN3002,0,switch,2,40000,0,31.0378,0,0,0,909.28,0,0
71,egress,1,LBNL_VLAN3002,0,switch,2,40000,0,62.0757,0,0,0,909.28,0,0
71,egress,2,STARLIGHT,1,switch,3,40000,0,31.0378,0,0,0,909.28,0,0
72,egress,2,STARLIGHT,1,switch,3,40000,0,62.0757,0,0,0,909.28,0,0
72,egress,3,LBNL_VLAN3001,2,terminal,7,20000,0,31.0378,0,0,0,909.28,0,0
72,egress,1,LBNL_VLAN3002,0,switch,2,40000,0,0,0,0,0,909.28,0,0
73,egress,1,LBNL_VLAN3002,0,switch,2,40000,0,62.0757,0,0,0,909.28,0,0
73,egress,3,LBNL_VLAN3001,2,terminal,7,20000,0,62.0757,0,0,0,909.28,0,0
74,egress,1,LBNL_VLAN3002,0,switch,2,40000,0,0,0,0,0,909.28,0,0
74,egress,2,STARLIGHT,1,switch,3,40000,0,62.0757,0,0,0,909.28,0,0
75,egress,1,LBNL_VLAN3002,0,switch,2,40000,0,62.0757,0,0,0,909.28,0,0
75,egress,3,LBNL_VLAN3001,2,terminal,7,20000,0,62.0757,0,0,0,909.28,0,0
76,egress,1,LBNL_VLAN3002,0,switch,2,40000,0,31.0378,0,0,0,909.28,0,0
76,egress,2,STARLIGHT,1,switch,3,40000,0,62.0757,0,0,0,909.28,0,0
77,egress,1,LBNL_VLAN3002,0,switch,2,40000,0,24.8303,0,0,0,909.28,0,0
77,egress,3,LBNL_VLAN3001,2,terminal,7,20000,0,62.0757,0,0,0,909.28,0,0
77,egress,2,STARLIGHT,1,switch,3,40000,0,31.0378,0,0,0,909.28,0,0
78,egress,2,STARLIGHT,1,switch,3,40000,0,24.8303,0,0,0,909.28,0,0
78,egress,3,LBNL_VLAN3001,2,terminal,7,20000,0,31.0378,0,0,0,909.28,0,0
78,egress,1,LBNL_VLAN3002,0,switch,2,40000,0,0,0,0,0,909.28,0,0
79,egress,1,LBNL_VLAN3002,0,switch,2,40000,0,24.8303,0,0,0,909.28,0,0
79,egress,3,LBNL_VLAN3001,2,terminal,7,20000,0,24.8303,0,0,0,909.28,0,0
80,egress,2,STARLIGHT,1,switch,3,40000,0,24.8303,0,0,0,909.28,0,0
80,egress,1,LBNL_VLAN3002,0,switch,2,40000,0,49.6606,0,0,0,909.28,0,0
81,egress,1,LBNL_VLAN3002,0,switch,2,40000,0,0,0,0,0,909.28,0,0
81,egress,3,LBNL_VLAN3001,2,terminal,7,20000,0,24.8303,0,0,0,909.28,0,0
81,egress,2,STARLIGHT,1,switch,3,40000,0,49.6606,0,0,0,909.28,0,0
82,egress,3,LBNL_VLAN3001,2,terminal,7,20000,0,49.6606,0,0,0,909.28,0,0
